postcode_district,population
AL1,"36,180"
AL10,"35,900"
AL2,"23,604"
AL3,"28,462"
AL4,"27,268"
AL5,"30,240"
AL6,"11,222"
AL7,"33,890"
AL8,"13,252"
AL9,"10,409"
B1,"7,989"
B10,"25,908"
B11,"44,704"
B12,"20,755"
B13,"36,817"
B14,"43,413"
B15,"18,221"
B16,"23,770"
B17,"25,563"
B18,"16,283"
B19,"20,068"
B2,616
B20,"34,089"
B21,"30,326"
B23,"42,870"
B24,"28,870"
B25,"16,005"
B26,"32,826"
B27,"24,834"
B28,"30,036"
B29,"42,024"
B3,"2,574"
B30,"29,084"
B31,"54,302"
B32,"38,518"
B33,"34,513"
B34,"19,327"
B35,"9,971"
B36,"34,751"
B37,"35,728"
B38,"21,354"
B4,"4,683"
B42,"24,367"
B43,"28,441"
B44,"37,091"
B45,"30,185"
B46,"12,072"
B47,"9,355"
B48,"5,796"
B49,"10,189"
B5,"11,983"
B50,"5,350"
B6,"19,664"
B60,"27,951"
B61,"23,470"
B62,"24,401"
B63,"36,431"
B64,"16,528"
B65,"23,770"
B66,"21,334"
B67,"30,387"
B68,"30,588"
B69,"28,958"
B7,"8,546"
B70,"27,992"
B71,"30,990"
B72,"9,569"
B73,"22,801"
B74,"32,470"
B75,"26,687"
B76,"21,651"
B77,"57,313"
B78,"24,374"
B79,"22,126"
B8,"41,929"
B80,"7,060"
B9,"24,903"
B90,"45,359"
B91,"33,166"
B92,"37,245"
B93,"19,706"
B94,"7,380"
B95,"5,663"
B96,"5,073"
B97,"33,494"
B98,"50,058"
BA1,"40,723"
BA10,"3,739"
BA11,"32,454"
BA12,"28,508"
BA13,"20,224"
BA14,"48,138"
BA15,"13,139"
BA16,"13,041"
BA2,"73,752"
BA20,"10,865"
BA21,"33,619"
BA22,"18,166"
BA3,"34,710"
BA4,"17,775"
BA5,"17,534"
BA6,"12,870"
BA7,"3,514"
BA8,"4,153"
BA9,"7,242"
BB1,"66,545"
BB10,"37,432"
BB11,"22,221"
BB12,"34,613"
BB18,"17,179"
BB2,"59,924"
BB3,"34,503"
BB4,"41,401"
BB5,"61,102"
BB6,"14,659"
BB7,"31,699"
BB8,"23,041"
BB9,"44,598"
BD1,"3,836"
BD10,"25,882"
BD11,"11,355"
BD12,"16,685"
BD13,"24,979"
BD14,"8,871"
BD15,"15,316"
BD16,"25,803"
BD17,"17,901"
BD18,"27,258"
BD19,"22,019"
BD2,"28,566"
BD20,"35,315"
BD21,"27,133"
BD22,"29,849"
BD23,"29,329"
BD24,"5,131"
BD3,"34,021"
BD4,"31,218"
BD5,"31,641"
BD6,"30,072"
BD7,"35,345"
BD8,"31,502"
BD9,"29,309"
BH1,"19,304"
BH10,"20,062"
BH11,"19,910"
BH12,"35,271"
BH13,"8,321"
BH14,"23,432"
BH15,"33,052"
BH16,"15,835"
BH17,"22,983"
BH18,"11,128"
BH19,"11,517"
BH2,"8,345"
BH20,"19,954"
BH21,"40,571"
BH22,"26,791"
BH23,"52,818"
BH24,"23,595"
BH25,"25,717"
BH3,"5,740"
BH31,"13,360"
BH4,"9,382"
BH5,"11,246"
BH6,"22,199"
BH7,"11,820"
BH8,"28,015"
BH9,"31,619"
BL0,"17,753"
BL1,"63,799"
BL2,"45,533"
BL3,"64,278"
BL4,"33,450"
BL5,"27,040"
BL6,"29,428"
BL7,"14,959"
BL8,"35,797"
BL9,"48,222"
BN1,"84,775"
BN10,"18,579"
BN11,"33,278"
BN12,"20,127"
BN13,"27,536"
BN14,"30,736"
BN15,"27,371"
BN16,"28,334"
BN17,"28,292"
BN18,"13,468"
BN2,"92,743"
BN20,"20,951"
BN21,"25,775"
BN22,"32,246"
BN23,"28,302"
BN24,"9,291"
BN25,"23,571"
BN26,"11,426"
BN27,"26,842"
BN3,"79,513"
BN41,"20,915"
BN42,"9,991"
BN43,"22,492"
BN44,"10,125"
BN45,669
BN5,"7,106"
BN6,"17,400"
BN7,"21,190"
BN8,"16,310"
BN9,"13,477"
BR1,"56,331"
BR2,"44,840"
BR3,"47,324"
BR4,"18,986"
BR5,"45,712"
BR6,"46,828"
BR7,"17,300"
BR8,"21,972"
BS1,"11,991"
BS10,"27,605"
BS11,"17,354"
BS13,"29,585"
BS14,"28,155"
BS15,"47,327"
BS16,"75,908"
BS2,"15,599"
BS20,"30,003"
BS21,"23,283"
BS22,"37,442"
BS23,"33,996"
BS24,"18,841"
BS25,"6,232"
BS26,"5,127"
BS27,"7,081"
BS28,"3,318"
BS29,"2,919"
BS3,"36,761"
BS30,"30,360"
BS31,"20,000"
BS32,"24,758"
BS34,"29,790"
BS35,"21,640"
BS36,"15,443"
BS37,"38,061"
BS39,"15,463"
BS4,"47,959"
BS40,"12,786"
BS41,"6,083"
BS48,"23,408"
BS49,"11,951"
BS5,"52,343"
BS6,"33,681"
BS7,"40,933"
BS8,"26,102"
BS9,"30,953"
CA1,"24,260"
CA10,"13,623"
CA11,"22,359"
CA12,"8,026"
CA13,"15,006"
CA14,"35,799"
CA15,"16,218"
CA16,"6,175"
CA17,"4,873"
CA18,328
CA19,"1,069"
CA2,"39,435"
CA20,"3,355"
CA21,"1,017"
CA22,"8,887"
CA23,"1,424"
CA24,"1,266"
CA25,"6,183"
CA26,"3,868"
CA27,"1,644"
CA28,"28,592"
CA3,"14,015"
CA4,"9,679"
CA5,"7,114"
CA6,"9,094"
CA7,"22,533"
CA8,"10,314"
CA9,"2,088"
CB1,"49,238"
CB10,"13,497"
CB11,"18,047"
CB2,"18,538"
CB21,"15,626"
CB22,"24,025"
CB23,"30,885"
CB24,"33,040"
CB25,"18,264"
CB3,"16,270"
CB4,"41,898"
CB5,"11,036"
CB6,"38,375"
CB7,"26,616"
CB8,"33,241"
CB9,"32,871"
CH1,"30,560"
CH2,"34,321"
CH3,"32,010"
CH4,"32,297"
CH41,"18,667"
CH42,"31,056"
CH43,"38,916"
CH44,"29,914"
CH45,"30,855"
CH46,"25,480"
CH47,"10,909"
CH48,"15,206"
CH49,"28,777"
CH5,"42,525"
CH6,"17,118"
CH60,"13,084"
CH61,"17,590"
CH62,"28,732"
CH63,"30,597"
CH64,"18,921"
CH65,"26,371"
CH66,"35,092"
CH7,"50,066"
CH8,"20,679"
CM0,"16,003"
CM1,"62,862"
CM11,"19,001"
CM12,"19,822"
CM13,"24,494"
CM14,"19,746"
CM15,"23,406"
CM16,"22,096"
CM17,"21,296"
CM18,"24,425"
CM19,"18,811"
CM2,"58,252"
CM20,"21,400"
CM21,"10,838"
CM22,"13,232"
CM23,"40,615"
CM24,"6,669"
CM3,"54,108"
CM4,"10,181"
CM5,"10,581"
CM6,"25,184"
CM7,"48,743"
CM77,"15,395"
CM8,"32,807"
CM9,"33,525"
CO1,"14,988"
CO10,"46,329"
CO11,"12,950"
CO12,"22,215"
CO13,"12,110"
CO14,"6,735"
CO15,"43,054"
CO16,"24,196"
CO2,"35,114"
CO3,"28,117"
CO4,"48,002"
CO5,"28,199"
CO6,"28,893"
CO7,"32,953"
CO8,"2,303"
CO9,"25,260"
CR0,"154,233"
CR2,"48,467"
CR3,"28,539"
CR4,"58,802"
CR5,"28,862"
CR6,"9,843"
CR7,"44,691"
CR8,"32,545"
CT1,"30,755"
CT10,"24,903"
CT11,"29,206"
CT12,"17,826"
CT13,"8,901"
CT14,"35,056"
CT15,"13,238"
CT16,"19,623"
CT17,"22,086"
CT18,"13,909"
CT19,"28,867"
CT2,"30,718"
CT20,"22,470"
CT21,"17,147"
CT3,"17,284"
CT4,"16,633"
CT5,"33,068"
CT6,"38,563"
CT7,"11,459"
CT8,"7,338"
CT9,"43,454"
CV1,"31,181"
CV10,"49,883"
CV11,"39,428"
CV12,"31,606"
CV13,"10,714"
CV2,"63,206"
CV21,"35,590"
CV22,"35,333"
CV23,"21,836"
CV3,"63,323"
CV31,"31,530"
CV32,"32,696"
CV33,"6,103"
CV34,"31,345"
CV35,"24,609"
CV36,"9,286"
CV37,"40,998"
CV4,"33,370"
CV47,"16,967"
CV5,"45,968"
CV6,"86,522"
CV7,"28,078"
CV8,"31,031"
CV9,"21,204"
CW1,"42,379"
CW10,"14,361"
CW11,"22,615"
CW12,"29,225"
CW2,"41,120"
CW3,"9,079"
CW4,"9,378"
CW5,"29,281"
CW6,"12,160"
CW7,"31,454"
CW8,"35,290"
CW9,"33,147"
DA1,"52,687"
DA10,"6,746"
DA11,"38,059"
DA12,"47,392"
DA13,"14,449"
DA14,"21,183"
DA15,"29,427"
DA16,"35,912"
DA17,"17,104"
DA18,"4,939"
DA2,"22,994"
DA3,"16,748"
DA4,"9,062"
DA5,"20,824"
DA6,"9,846"
DA7,"35,540"
DA8,"34,559"
DA9,"13,089"
DE1,"13,807"
DE11,"43,809"
DE12,"20,462"
DE13,"40,596"
DE14,"28,844"
DE15,"24,192"
DE21,"57,016"
DE22,"46,544"
DE23,"59,900"
DE24,"54,523"
DE3,"17,008"
DE4,"33,166"
DE45,"8,676"
DE5,"22,033"
DE55,"51,224"
DE56,"40,374"
DE6,"25,593"
DE65,"23,456"
DE7,"49,916"
DE72,"20,225"
DE73,"19,052"
DE74,"11,491"
DE75,"18,713"
DH1,"49,865"
DH2,"30,427"
DH3,"25,904"
DH4,"33,471"
DH5,"19,534"
DH6,"33,392"
DH7,"41,375"
DH8,"38,551"
DH9,"36,692"
DL1,"46,371"
DL10,"18,424"
DL11,"5,308"
DL12,"12,407"
DL13,"14,158"
DL14,"37,072"
DL15,"22,497"
DL16,"19,816"
DL17,"17,672"
DL2,"16,980"
DL3,"44,712"
DL4,"9,976"
DL5,"29,340"
DL6,"15,515"
DL7,"16,218"
DL8,"18,650"
DL9,"15,859"
DN1,"8,735"
DN10,"12,086"
DN11,"28,352"
DN12,"24,119"
DN14,"46,242"
DN15,"36,603"
DN16,"31,667"
DN17,"37,188"
DN18,"11,717"
DN19,"6,282"
DN2,"24,551"
DN20,"19,187"
DN21,"37,221"
DN22,"36,086"
DN3,"30,069"
DN31,"9,619"
DN32,"30,257"
DN33,"19,538"
DN34,"19,001"
DN35,"34,561"
DN36,"19,103"
DN37,"21,745"
DN38,"3,023"
DN39,"2,846"
DN4,"53,415"
DN40,"12,299"
DN41,"6,266"
DN5,"40,864"
DN6,"31,148"
DN7,"24,610"
DN8,"17,295"
DN9,"20,018"
DT1,"19,060"
DT10,"11,841"
DT11,"30,156"
DT2,"24,826"
DT3,"23,138"
DT4,"37,293"
DT5,"12,844"
DT6,"21,559"
DT7,"5,696"
DT8,"6,000"
DT9,"20,790"
DY1,"32,131"
DY10,"35,814"
DY11,"30,077"
DY12,"12,305"
DY13,"22,209"
DY14,"8,529"
DY2,"34,461"
DY3,"33,730"
DY4,"42,846"
DY5,"41,898"
DY6,"27,489"
DY7,"8,300"
DY8,"50,737"
DY9,"30,072"
E1,"70,389"
E10,"43,120"
E11,"54,689"
E12,"42,606"
E13,"47,169"
E14,"82,638"
E15,"51,650"
E16,"45,371"
E17,"103,129"
E18,"19,864"
E1W,"12,428"
E2,"45,811"
E3,"52,371"
E4,"60,357"
E5,"48,492"
E6,"78,790"
E7,"54,133"
E8,"39,260"
E9,"37,768"
EC1A,894
EC1M,"2,473"
EC1N,"2,650"
EC1R,"4,885"
EC1V,"12,765"
EC1Y,"3,767"
EC2A,"1,229"
EC2Y,"3,249"
EC3R,227
EC4A,151
EC4V,595
EC4Y,320
EN1,"44,997"
EN10,"17,036"
EN11,"21,451"
EN2,"29,709"
EN3,"57,073"
EN4,"25,578"
EN5,"38,071"
EN6,"29,010"
EN7,"22,050"
EN8,"35,826"
EN9,"23,633"
EX1,"21,521"
EX10,"17,207"
EX11,"7,795"
EX12,"9,416"
EX13,"11,329"
EX14,"20,687"
EX15,"21,313"
EX16,"32,440"
EX17,"19,539"
EX18,"3,117"
EX19,"3,525"
EX2,"40,698"
EX20,"19,966"
EX21,"4,620"
EX22,"10,745"
EX23,"15,704"
EX24,"3,789"
EX3,"4,940"
EX31,"25,475"
EX32,"23,778"
EX33,"10,224"
EX34,"17,306"
EX35,"1,647"
EX36,"8,477"
EX37,"3,362"
EX38,"8,132"
EX39,"37,163"
EX4,"54,711"
EX5,"18,568"
EX6,"13,673"
EX7,"12,432"
EX8,"37,449"
EX9,"6,763"
FY1,"33,634"
FY2,"24,559"
FY3,"31,955"
FY4,"43,664"
FY5,"44,816"
FY6,"28,003"
FY7,"25,939"
FY8,"44,053"
GL1,"34,152"
GL10,"13,953"
GL11,"18,139"
GL12,"15,045"
GL13,"5,863"
GL14,"15,722"
GL15,"20,743"
GL16,"13,381"
GL17,"11,180"
GL18,"7,493"
GL19,"9,803"
GL2,"51,819"
GL20,"28,233"
GL3,"30,492"
GL4,"47,808"
GL5,"31,040"
GL50,"22,496"
GL51,"51,520"
GL52,"43,265"
GL53,"19,755"
GL54,"22,146"
GL55,"5,422"
GL56,"8,403"
GL6,"24,460"
GL7,"42,280"
GL8,"8,541"
GL9,"2,667"
GU1,"29,169"
GU10,"22,238"
GU11,"23,292"
GU12,"31,479"
GU14,"54,994"
GU15,"34,778"
GU16,"23,767"
GU17,"11,101"
GU18,"6,791"
GU19,"5,592"
GU2,"34,172"
GU20,"4,392"
GU21,"49,738"
GU22,"33,400"
GU23,"6,869"
GU24,"17,845"
GU25,"5,448"
GU26,"7,475"
GU27,"17,725"
GU28,"6,650"
GU29,"9,094"
GU3,"11,071"
GU30,"9,081"
GU31,"11,223"
GU32,"11,969"
GU33,"8,442"
GU34,"29,783"
GU35,"23,068"
GU4,"15,894"
GU46,"14,829"
GU47,"18,862"
GU5,"11,220"
GU51,"23,604"
GU52,"15,953"
GU6,"14,204"
GU7,"22,824"
GU8,"17,648"
GU9,"29,684"
HA0,"48,358"
HA1,"39,209"
HA2,"55,268"
HA3,"69,554"
HA4,"50,175"
HA5,"44,985"
HA6,"21,984"
HA7,"37,197"
HA8,"66,378"
HA9,"47,845"
HD1,"22,962"
HD2,"29,503"
HD3,"29,289"
HD4,"30,275"
HD5,"31,056"
HD6,"27,344"
HD7,"22,676"
HD8,"34,320"
HD9,"35,389"
HG1,"34,201"
HG2,"33,473"
HG3,"26,400"
HG4,"25,852"
HG5,"18,417"
HP1,"24,413"
HP10,"18,965"
HP11,"13,505"
HP12,"22,822"
HP13,"43,059"
HP14,"17,723"
HP15,"17,428"
HP16,"11,846"
HP17,"10,044"
HP18,"13,522"
HP19,"23,757"
HP2,"38,432"
HP20,"14,908"
HP21,"33,355"
HP22,"24,698"
HP23,"17,459"
HP27,"12,211"
HP3,"32,094"
HP4,"23,973"
HP5,"25,390"
HP6,"14,150"
HP7,"10,625"
HP8,"6,819"
HP9,"17,153"
HR1,"31,885"
HR2,"39,121"
HR3,"7,756"
HR4,"30,339"
HR5,"4,670"
HR6,"20,493"
HR7,"7,155"
HR8,"14,015"
HR9,"21,059"
HU1,"3,294"
HU10,"19,057"
HU11,"11,858"
HU12,"25,596"
HU13,"15,000"
HU14,"8,278"
HU15,"24,147"
HU16,"16,466"
HU17,"43,499"
HU18,"8,774"
HU19,"7,135"
HU2,"4,017"
HU20,"1,015"
HU3,"27,335"
HU4,"23,208"
HU5,"51,064"
HU6,"33,975"
HU7,"42,282"
HU8,"34,815"
HU9,"42,408"
HX1,"24,131"
HX2,"35,876"
HX3,"45,943"
HX4,"12,176"
HX5,"10,261"
HX6,"18,688"
HX7,"13,303"
IG1,"64,550"
IG10,"31,527"
IG11,"53,359"
IG2,"28,968"
IG3,"36,068"
IG4,"8,912"
IG5,"17,014"
IG6,"26,769"
IG7,"20,397"
IG8,"35,245"
IG9,"12,885"
IP1,"39,543"
IP10,"3,058"
IP11,"29,296"
IP12,"24,397"
IP13,"18,132"
IP14,"39,003"
IP15,"2,466"
IP16,"6,546"
IP17,"10,784"
IP18,"4,060"
IP19,"10,281"
IP2,"31,133"
IP20,"7,792"
IP21,"11,220"
IP22,"21,876"
IP23,"7,010"
IP24,"27,825"
IP25,"18,213"
IP26,"8,945"
IP27,"19,013"
IP28,"24,498"
IP29,"9,017"
IP3,"34,573"
IP30,"13,574"
IP31,"21,299"
IP32,"17,091"
IP33,"24,205"
IP4,"36,366"
IP5,"19,649"
IP6,"16,179"
IP7,"16,621"
IP8,"10,920"
IP9,"11,349"
KT1,"23,898"
KT10,"20,893"
KT11,"14,980"
KT12,"36,834"
KT13,"21,292"
KT14,"13,350"
KT15,"27,373"
KT16,"18,462"
KT17,"23,302"
KT18,"17,445"
KT19,"34,098"
KT2,"30,450"
KT20,"20,559"
KT21,"13,726"
KT22,"24,154"
KT23,"10,694"
KT24,"9,515"
KT3,"38,508"
KT4,"28,910"
KT5,"20,419"
KT6,"31,422"
KT7,"10,365"
KT8,"19,646"
KT9,"21,369"
L1,"7,074"
L10,"15,093"
L11,"25,226"
L12,"31,797"
L13,"30,565"
L14,"25,142"
L15,"30,009"
L16,"15,115"
L17,"24,159"
L18,"28,413"
L19,"23,729"
L2,566
L20,"31,565"
L21,"25,556"
L22,"13,793"
L23,"30,221"
L24,"15,964"
L25,"33,447"
L26,"15,150"
L27,"6,427"
L28,"6,274"
L29,404
L3,"17,830"
L30,"19,872"
L31,"30,801"
L32,"20,447"
L33,"16,939"
L34,"12,015"
L35,"31,064"
L36,"39,929"
L37,"23,542"
L38,"2,579"
L39,"28,676"
L4,"40,268"
L40,"18,033"
L5,"12,448"
L6,"23,727"
L7,"18,006"
L8,"32,577"
L9,"32,637"
LA1,"52,049"
LA10,"4,002"
LA11,"9,673"
LA12,"20,194"
LA13,"18,812"
LA14,"38,513"
LA15,"7,827"
LA16,"3,462"
LA17,"1,174"
LA18,"9,070"
LA19,972
LA2,"22,304"
LA20,"1,159"
LA21,928
LA22,"4,943"
LA23,"9,137"
LA3,"24,447"
LA4,"26,392"
LA5,"16,416"
LA6,"12,506"
LA7,"5,317"
LA8,"9,008"
LA9,"30,399"
LE1,"13,308"
LE10,"47,474"
LE11,"60,367"
LE12,"62,122"
LE13,"27,158"
LE14,"17,321"
LE15,"32,325"
LE16,"34,975"
LE17,"20,648"
LE18,"32,861"
LE19,"14,762"
LE2,"119,026"
LE3,"100,913"
LE4,"97,057"
LE5,"85,435"
LE6,"12,073"
LE65,"14,025"
LE67,"58,904"
LE7,"44,781"
LE8,"35,013"
LE9,"55,247"
LN1,"28,362"
LN10,"5,985"
LN11,"28,222"
LN12,"13,221"
LN13,"7,766"
LN2,"38,637"
LN3,"8,895"
LN4,"38,658"
LN5,"32,187"
LN6,"58,349"
LN7,"6,070"
LN8,"17,283"
LN9,"9,675"
LS1,"5,759"
LS10,"35,534"
LS11,"34,795"
LS12,"40,949"
LS13,"35,021"
LS14,"34,484"
LS15,"34,991"
LS16,"36,457"
LS17,"43,426"
LS18,"18,895"
LS19,"19,835"
LS2,"10,120"
LS20,"12,663"
LS21,"17,729"
LS22,"15,791"
LS23,"9,207"
LS24,"11,849"
LS25,"39,917"
LS26,"30,021"
LS27,"35,695"
LS28,"37,896"
LS29,"31,456"
LS3,"2,876"
LS4,"9,072"
LS5,"8,507"
LS6,"48,277"
LS7,"28,266"
LS8,"48,286"
LS9,"36,406"
LU1,"43,355"
LU2,"56,890"
LU3,"60,550"
LU4,"52,069"
LU5,"38,285"
LU6,"30,833"
LU7,"53,968"
M1,"12,221"
M11,"20,443"
M12,"16,176"
M13,"23,961"
M14,"52,820"
M15,"22,310"
M16,"35,721"
M18,"23,267"
M19,"34,586"
M20,"48,595"
M21,"29,583"
M22,"42,371"
M23,"30,949"
M24,"46,748"
M25,"31,475"
M26,"34,813"
M27,"42,069"
M28,"39,425"
M29,"22,896"
M3,"11,709"
M30,"35,983"
M31,"8,395"
M32,"28,586"
M33,"60,474"
M34,"46,290"
M35,"20,680"
M38,"12,958"
M4,"10,740"
M40,"40,857"
M41,"41,481"
M43,"23,255"
M44,"19,689"
M45,"22,722"
M46,"22,203"
M5,"15,729"
M50,"3,449"
M6,"31,974"
M60,"1,437"
M7,"27,746"
M8,"31,098"
M9,"39,518"
ME1,"31,192"
ME10,"47,582"
ME11,"3,407"
ME12,"36,884"
ME13,"27,959"
ME14,"31,714"
ME15,"47,659"
ME16,"30,046"
ME17,"22,389"
ME18,"6,803"
ME19,"21,797"
ME2,"39,529"
ME20,"20,645"
ME3,"26,184"
ME4,"30,191"
ME5,"51,409"
ME6,"10,211"
ME7,"51,775"
ME8,"49,214"
ME9,"20,553"
MK1,585
MK10,"13,825"
MK11,"7,736"
MK12,"12,492"
MK13,"18,860"
MK14,"18,700"
MK15,"7,205"
MK16,"18,500"
MK17,"17,229"
MK18,"30,663"
MK19,"11,258"
MK2,"14,316"
MK3,"22,625"
MK4,"21,867"
MK40,"31,009"
MK41,"42,537"
MK42,"44,558"
MK43,"32,983"
MK44,"15,317"
MK45,"43,049"
MK46,"9,126"
MK5,"15,438"
MK6,"28,113"
MK7,"14,559"
MK8,"12,062"
MK9,"3,366"
N1,"91,056"
N10,"27,992"
N11,"29,879"
N12,"28,898"
N13,"31,783"
N14,"29,956"
N15,"43,718"
N16,"68,567"
N17,"63,538"
N18,"31,742"
N19,"33,752"
N2,"23,968"
N20,"19,024"
N21,"23,500"
N22,"42,851"
N3,"26,534"
N4,"47,291"
N5,"24,287"
N6,"19,474"
N7,"48,157"
N8,"40,037"
N9,"52,193"
NE1,"9,051"
NE10,"36,221"
NE11,"16,459"
NE12,"35,096"
NE13,"12,851"
NE15,"32,691"
NE16,"25,674"
NE17,"4,669"
NE18,927
NE19,"2,273"
NE2,"29,529"
NE20,"11,873"
NE21,"17,276"
NE22,"17,884"
NE23,"39,233"
NE24,"38,076"
NE25,"29,808"
NE26,"19,326"
NE27,"12,024"
NE28,"44,749"
NE29,"35,613"
NE3,"53,050"
NE30,"22,333"
NE31,"20,130"
NE32,"25,389"
NE33,"27,069"
NE34,"52,479"
NE35,"6,428"
NE36,"6,854"
NE37,"21,056"
NE38,"31,101"
NE39,"8,575"
NE4,"37,437"
NE40,"15,635"
NE41,"2,197"
NE42,"12,607"
NE43,"4,523"
NE44,966
NE45,"3,672"
NE46,"15,537"
NE47,"7,917"
